Radionuclide,Element,Z,A,Metastable_State,Atomic_Mass,Is_Stable,Half_Life_Second,Half_Life_Readable,Half_Life_Value,Half_Life_Unit,Num_Decay_Modes,Decay_Modes,Branching_Ratios,Progeny,Decay_Energy_EM,Decay_Energy_LP,Decay_Energy_HP,Decay_Energy_Neutrino,Decay_Energy_Gamma,Decay_Energy_Xray,Decay_Energy_Beta_Minus,Decay_Energy_Beta_Plus,Decay_Energy_Alpha,Decay_Energy_Neutron,Decay_Energy_Proton,Decay_Effective_Q
Ho-154,Ho,67,154,,153.93069292782755,False,705.6,11.76 m,11.76,m,2,"['β+&EC', 'α']","[np.float64(0.9998), np.float64(0.0002)]","['Dy-154', 'Tb-150']",1917600.0,1917600.0,808.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy-149M,Dy,66,149,M,148.92730969638336,False,0.49,490.00 ms,490.0,ms,2,"['β+&EC', 'IT']","[np.float64(0.007), np.float64(0.993)]","['Tb-149M', 'Dy-149']",2541759.0,127563.9,0.0,18040.0,2530000.0,0.0,0.0,0.0,0.0,0.0,0.0,2687000.0
Rb-75,Rb,37,75,,74.93859497970482,False,19.0,19.00 s,19.0,s,1,['β+&EC'],[np.float64(1.0)],['Kr-75'],2368324.0,2368324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ir-186,Ir,77,186,,185.95803448122248,False,59904.0,16.64 h,16.64,h,1,['β+&EC'],[np.float64(1.0)],['Os-186'],1275509.0,1275509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dy-143M,Dy,66,143,M,142.94390728348793,False,3.0,3.00 s,3.0,s,1,['β+&EC'],[np.float64(1.0)],['Tb-143'],2704000.0,2704000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fe-72,Fe,26,72,,71.96964926186718,False,1.5e-07,150.00 ns,149.99999999999997,ns,2,"['β-', 'β-,n']","[np.float64(0.724), np.float64(0.276)]","['Co-72', 'Co-71']",2803191.0,2803191.0,51750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bi-189,Bi,83,189,,188.98927536646073,False,0.674,674.00 ms,674.0,ms,2,"['β+&EC', 'α']","[np.float64(0.5), np.float64(0.5)]","['Pb-189', 'Tl-185']",1302851.0,1302851.0,3634900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ru-95,Ru,44,95,,94.91044985630725,False,5914.8,1.64 h,1.643,h,2,"['β+&EC', 'β+&EC']","[np.float64(0.9736547), np.float64(0.0263453)]","['Tc-95', 'Tc-95M']",1237196.0,80342.4,0.0,1245000.0,1083000.0,0.0,0.0,0.0,0.0,0.0,0.0,2564000.0
O-19,O,8,19,,19.00358664560798,False,26.88,26.88 s,26.88,s,1,['β-'],[np.float64(1.0)],['F-19'],939721.9,1785276.0,0.0,2190000.0,939700.0,0.0,1785000.0,0.0,0.0,0.0,0.0,4820000.0
Rn-215,Rn,86,215,,214.99881902107356,False,2.3e-06,2.30 μs,2.3000000000000003,μs,1,['α'],[np.float64(1.0)],['Po-211'],0.0,0.0,8835377.0,0.0,0.0,0.0,0.0,0.0,8674000.0,0.0,0.0,8839000.0
Pd-111,Pd,46,111,,110.9076894756706,False,1404.0,23.40 m,23.4,m,2,"['β-', 'β-']","[np.float64(0.0070304), np.float64(0.9929696)]","['Ag-111', 'Ag-111M']",47221.43,831867.9,0.0,1278000.0,47070.0,0.0,831400.0,0.0,0.0,0.0,0.0,2158000.0
