Radionuclide,Element,Z,A,Metastable_State,Atomic_Mass,Is_Stable,Half_Life_Second,Half_Life_Readable,Half_Life_Value,Half_Life_Unit,Num_Decay_Modes,Decay_Modes,Branching_Ratios,Progeny,Decay_Energy_EM,Decay_Energy_LP,Decay_Energy_HP,Decay_Energy_Neutrino,Decay_Energy_Gamma,Decay_Energy_Xray,Decay_Energy_Beta_Minus,Decay_Energy_Beta_Plus,Decay_Energy_Alpha,Decay_Energy_Neutron,Decay_Energy_Proton,Decay_Effective_Q
Ds-279M,Ds,110,279,M,279.1590085157,False,0.19,190.00 ms,190.0,ms,2,"['α', 'SF']","[0.1, 0.9]","['Hs-275', 'X']",0.0,0.0,960000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Ds-273,Ds,110,273,,273.1489773395,False,0.000225,225.00 μs,225.0,μs,1,['α'],[1.0],['Hs-269'],0.0,0.0,11367900.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Mt-273,Mt,109,273,,273.1450435449,False,20.0,20.00 s,20.0,s,2,"['α', 'SF']","[0.5, 0.5]","['Bh-269', 'X']",0.0,0.0,5300000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Hs-273,Hs,108,273,,273.1421184156,False,50.0,50.00 s,50.0,s,1,['α'],[1.0],['Sg-269'],0.0,0.0,9730000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Rg-272,Rg,111,272,,272.1537273124,False,0.0041,4.10 ms,4.1,ms,1,['α'],[1.0],['Mt-268'],0.0,0.0,11442000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Ds-272,Ds,110,272,,272.1463640559,False,1.0,1.00 s,1.0,s,1,['SF'],[1.0],['X'],0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Ds-271M,Ds,110,271,M,271.1461715689,False,0.08650000000000001,86.50 ms,86.5,ms,1,['α'],[1.0],['Hs-267'],0.0,0.0,10870000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Ds-271,Ds,110,271,,271.1461715689,False,0.001705,1.70 ms,1.705,ms,1,['α'],[1.0],['Hs-267'],0.0,0.0,10869650.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Mt-271,Mt,109,271,,271.1412291091,False,5.0,5.00 s,5.0,s,1,['α'],[1.0],['Bh-267'],0.0,0.0,10140000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Ds-270M,Ds,110,270,M,270.1447686836,False,0.009000000000000001,9.00 ms,9.0,ms,2,"['α', 'IT']","[0.7000000000000001, 0.30000000000000004]","['Hs-266', 'Ds-270']",339000.0,0.0,8631000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Ds-270,Ds,110,270,,270.1447686836,False,0.00015000000000000001,150.00 μs,150.0,μs,2,"['α', 'SF']","[0.998, 0.002]","['Hs-266', 'X']",0.0,0.0,11173740.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Mt-270,Mt,109,270,,270.1407340225,False,0.006050000000000001,6.05 ms,6.05,ms,1,['α'],[1.0],['Bh-266'],0.0,0.0,10350000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Ds-269,Ds,110,269,,269.1451813958,False,0.000268,268.00 μs,268.0,μs,1,['α'],[1.0],['Hs-265'],0.0,0.0,11584560.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Mt-269,Mt,109,269,,269.1391294042,False,0.05,50.00 ms,50.0,ms,1,['α'],[1.0],['Bh-265'],0.0,0.0,10500000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Hs-269,Hs,108,269,,269.1341869443,False,12.9,12.90 s,12.9,s,1,['α'],[1.0],['Sg-265'],0.0,0.0,9630000.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
